FAULT 0:07.9 E97 | wood jump-lock — retarget nearest any-type log | see T2Codes / paste faults.log
FAULT 0:24.9 E109 | mine/collect with no pick child=CollectIronIngotTask | see T2Codes / paste faults.log
FAULT 0:25.7 E112 | ph IRON->BOOTSTRAP in 981ms | see T2Codes / paste faults.log
FAULT 0:30.8 S130 | START trigger=flips=3 ph=IRON prev=CollectIronIngotTask cycle=1 pos=-107,66,16 walls=4/4/4 sky=15 place=5 boxed=true hold=false cool=0 ban=0 startY=66 step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 0:32.7 S139 | rise confirmed +4y y=70 startY=66 pos=-107,70,16 walls=0/1/0 sky=15 place=3 boxed=false hold=true cool=0 ban=0 startY=66 step=37 | rise confirmed: real escape, cool armed
FAULT 0:32.7 S133 | cool arm ticks=80 reason=risen y=70 startY=66 ban=-107,16 pos=-107,70,16 walls=0/1/0 sky=15 place=3 boxed=false hold=true cool=80 ban=80 startY=66 step=37 | pillar state machine: check ban column vs actual shaft column
FAULT 0:32.7 S136 | END reason=risen y=70 startY=66 roseReal=true giveUp=true pos=-107,70,16 walls=0/1/0 sky=15 place=3 boxed=false hold=true cool=80 ban=80 startY=66 step=37 | pillar state machine: check ban column vs actual shaft column
FAULT 0:34.0 S109 | equip pick for mining (was holding empty) | mining with a block in hand: force-equip the pick (S109 does this)
FAULT 0:36.1 S138 | shaft ban clear left-xz ban=-107,16 now=-106,17 manh=2 left=12 | pillar state machine: check ban column vs actual shaft column
FAULT 0:36.7 S134 | pillar cool expire after flips=3 end=risen y=70 startY=66 | pillar state machine: check ban column vs actual shaft column
FAULT 0:36.7 S138 | shaft ban clear left-xz ban=-107,16 now=-105,18 manh=4 left=60 | pillar state machine: check ban column vs actual shaft column
FAULT 0:41.8 S130 | START trigger=flips=3 ph=IRON prev=CollectIronIngotTask cycle=1 pos=-104,66,17 walls=4/4/4 sky=10 place=8 boxed=true hold=false cool=0 ban=0 startY=66 step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 0:44.3 S133 | cool arm ticks=240 reason=stuck-low step=50 y=68 startY=66 ban=-104,17 pos=-104,68,17 walls=3/2/4 sky=12 place=7 boxed=false hold=true cool=240 ban=240 startY=66 step=50 | pillar state machine: check ban column vs actual shaft column
FAULT 0:44.3 S136 | END reason=stuck-low step=50 y=68 startY=66 roseReal=false giveUp=true pos=-104,68,17 walls=3/2/4 sky=12 place=7 boxed=false hold=true cool=240 ban=240 startY=66 step=50 | pillar state machine: check ban column vs actual shaft column
FAULT 0:44.6 E100 | jumps=14 @-104,68,17 ph=IRON child=CollectIronIngotTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 0:44.7 S109 | equip pick for mining (was holding empty) | mining with a block in hand: force-equip the pick (S109 does this)
FAULT 0:46.5 S135 | S130 suppressed why=would-S130 but busy cool=197 flips=3 sameXz=43 child=CollectIronIngotTask cool=197 ban=197 hold=false pos=-104,66,17 walls=4/4/4 sky=10 place=8 boxed=true hold=false cool=197 ban=197 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 0:47.7 S100 | stop jump-walk @-104,17 ph=IRON child=CollectIronIngotTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 0:48.5 S135 | S130 suppressed why=would-S130 but busy cool=157 flips=0 sameXz=83 child=CollectIronIngotTask cool=157 ban=157 hold=false pos=-104,65,17 walls=4/4/4 sky=9 place=10 boxed=true hold=false cool=157 ban=157 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 0:52.5 S135 | S130 suppressed why=would-S130 but busy cool=76 flips=4 sameXz=164 child=CollectIronIngotTask cool=76 ban=76 hold=false pos=-104,63,17 walls=4/4/4 sky=7 place=12 boxed=true hold=false cool=76 ban=76 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 0:53.1 E100 | jumps=6 @-104,62,17 ph=IRON child=CollectIronIngotTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 0:53.8 S109 | equip pick for mining (was holding dirt) | mining with a block in hand: force-equip the pick (S109 does this)
