FAULT 0:07.9 E97 | wood jump-lock — retarget nearest any-type log | see T2Codes / paste faults.log
FAULT 0:25.5 S120 | craft-gui jump @-245,71,189 child=CraftInTableTask | see T2Codes / paste faults.log
FAULT 0:26.1 E109 | mine/collect with no pick child=CollectIronIngotTask | see T2Codes / paste faults.log
FAULT 0:26.9 E112 | ph IRON->BOOTSTRAP in 976ms | see T2Codes / paste faults.log
FAULT 0:32.0 S130 | START trigger=flips=3 ph=IRON prev=CollectIronIngotTask cycle=1 pos=-248,70,188 walls=4/4/4 sky=15 place=7 boxed=true hold=false cool=0 ban=0 startY=70 step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 0:33.9 S139 | rise confirmed +4y y=74 startY=70 pos=-248,74,188 walls=0/0/0 sky=15 place=5 boxed=false hold=true cool=0 ban=0 startY=70 step=37 | rise confirmed: real escape, cool armed
FAULT 0:33.9 S133 | cool arm ticks=80 reason=risen y=74 startY=70 ban=-248,188 pos=-248,74,188 walls=0/0/0 sky=15 place=5 boxed=false hold=true cool=80 ban=80 startY=70 step=37 | pillar state machine: check ban column vs actual shaft column
FAULT 0:33.9 S136 | END reason=risen y=74 startY=70 roseReal=true giveUp=true pos=-248,74,188 walls=0/0/0 sky=15 place=5 boxed=false hold=true cool=80 ban=80 startY=70 step=37 | pillar state machine: check ban column vs actual shaft column
FAULT 0:34.9 S138 | shaft ban clear left-xz ban=-248,188 now=-246,188 manh=2 left=60 | pillar state machine: check ban column vs actual shaft column
FAULT 0:35.2 S109 | equip pick for mining (was holding oak_sapling) | mining with a block in hand: force-equip the pick (S109 does this)
FAULT 0:37.5 S135 | S130 suppressed why=would-S130 but busy cool=7 flips=3 sameXz=27 child=CollectIronIngotTask cool=7 ban=0 hold=false pos=-247,70,188 walls=4/4/4 sky=15 place=6 boxed=true hold=false cool=7 ban=0 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 0:37.9 S134 | pillar cool expire after flips=3 end=risen y=74 startY=70 | pillar state machine: check ban column vs actual shaft column
FAULT 0:39.9 S135 | S130 suppressed why=would-S130 but busy cool=0 flips=2 sameXz=41 child=CollectIronIngotTask cool=0 ban=20 hold=false pos=-247,69,188 walls=4/4/4 sky=15 place=8 boxed=true hold=false cool=0 ban=20 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 0:40.2 E100 | jumps=7 @-247,68,188 ph=IRON child=CollectIronIngotTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 0:40.9 S130 | START trigger=flips=4 ph=IRON prev=CollectIronIngotTask cycle=1 pos=-247,68,188 walls=4/4/4 sky=15 place=9 boxed=true hold=false cool=0 ban=0 startY=68 step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 0:42.5 S139 | rise confirmed +4y y=72 startY=68 pos=-247,72,188 walls=2/0/4 sky=15 place=6 boxed=false hold=true cool=0 ban=0 startY=68 step=33 | rise confirmed: real escape, cool armed
FAULT 0:42.5 S133 | cool arm ticks=80 reason=risen y=72 startY=68 ban=-247,188 pos=-247,72,188 walls=2/0/4 sky=15 place=6 boxed=false hold=true cool=80 ban=80 startY=68 step=33 | pillar state machine: check ban column vs actual shaft column
FAULT 0:42.5 S136 | END reason=risen y=72 startY=68 roseReal=true giveUp=true pos=-247,72,188 walls=2/0/4 sky=15 place=6 boxed=false hold=true cool=80 ban=80 startY=68 step=33 | pillar state machine: check ban column vs actual shaft column
FAULT 0:43.7 S138 | shaft ban clear left-xz ban=-247,188 now=-248,189 manh=2 left=58 | pillar state machine: check ban column vs actual shaft column
FAULT 0:44.0 S109 | equip pick for mining (was holding oak_sapling) | mining with a block in hand: force-equip the pick (S109 does this)
FAULT 0:45.8 S135 | S130 suppressed why=would-S130 but busy cool=15 flips=3 sameXz=42 child=CollectIronIngotTask cool=15 ban=0 hold=false pos=-248,70,189 walls=4/4/4 sky=15 place=7 boxed=true hold=false cool=15 ban=0 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 0:46.5 S134 | pillar cool expire after flips=4 end=risen y=72 startY=68 | pillar state machine: check ban column vs actual shaft column
FAULT 0:46.6 S138 | shaft ban clear left-xz ban=-247,188 now=-248,189 manh=2 left=60 | pillar state machine: check ban column vs actual shaft column
FAULT 0:47.7 E100 | jumps=6 @-248,69,189 ph=IRON child=CollectIronIngotTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 0:48.4 S130 | START trigger=flips=3 ph=IRON prev=CollectIronIngotTask cycle=1 pos=-248,68,189 walls=4/4/4 sky=15 place=9 boxed=true hold=false cool=0 ban=0 startY=68 step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 0:50.3 S139 | rise confirmed +4y y=72 startY=68 pos=-248,72,189 walls=1/0/4 sky=15 place=7 boxed=false hold=true cool=0 ban=0 startY=68 step=37 | rise confirmed: real escape, cool armed
FAULT 0:50.3 S133 | cool arm ticks=80 reason=risen y=72 startY=68 ban=-248,189 pos=-248,72,189 walls=1/0/4 sky=15 place=7 boxed=false hold=true cool=80 ban=80 startY=68 step=37 | pillar state machine: check ban column vs actual shaft column
FAULT 0:50.3 S136 | END reason=risen y=72 startY=68 roseReal=true giveUp=true pos=-248,72,189 walls=1/0/4 sky=15 place=7 boxed=false hold=true cool=80 ban=80 startY=68 step=37 | pillar state machine: check ban column vs actual shaft column
FAULT 0:50.6 S109 | equip pick for mining (was holding oak_sapling) | mining with a block in hand: force-equip the pick (S109 does this)
FAULT 0:51.7 S135 | S130 suppressed why=would-S130 but busy cool=52 flips=3 sameXz=28 child=CollectIronIngotTask cool=52 ban=52 hold=false pos=-248,70,189 walls=4/4/4 sky=15 place=7 boxed=true hold=false cool=52 ban=52 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 0:54.3 S134 | pillar cool expire after flips=3 end=risen y=72 startY=68 | pillar state machine: check ban column vs actual shaft column
FAULT 0:54.3 S137 | re-cool still-boxed@-248,189 n=1 ticks=160 end=risen y=72 startY=68 pos=-248,69,189 walls=4/4/4 sky=15 place=9 boxed=true hold=false cool=160 ban=160 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 0:56.7 S109 | equip pick for mining (was holding oak_sapling) | mining with a block in hand: force-equip the pick (S109 does this)
FAULT 1:01.5 S135 | S130 suppressed why=jump-pit-busy child=CollectIronIngotTask cool=15 ban=15 hold=false pos=-247,68,189 walls=3/3/4 sky=13 place=13 boxed=false hold=false cool=15 ban=15 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 1:01.5 S100 | stop jump-walk @-247,189 ph=IRON child=CollectIronIngotTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 1:02.3 S134 | pillar cool expire after flips=3 end=risen y=72 startY=68 | pillar state machine: check ban column vs actual shaft column
FAULT 1:04.4 S138 | shaft ban clear left-xz ban=-248,189 now=-247,188 manh=2 left=19 | pillar state machine: check ban column vs actual shaft column
FAULT 1:08.5 S130 | START trigger=flips=3 ph=IRON prev=CollectIronIngotTask cycle=1 pos=-243,69,189 walls=4/4/4 sky=11 place=11 boxed=true hold=false cool=0 ban=0 startY=69 step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 1:10.3 E100 | jumps=11 @-243,71,189 ph=IRON child=HolePillarTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 1:10.5 S130 | tick y=71 slot=5 air=false pos=-243,71,189 walls=0/3/4 sky=13 place=10 boxed=false hold=true cool=0 ban=0 startY=69 step=41 | pillar state machine: check ban column vs actual shaft column
FAULT 1:11.0 S133 | cool arm ticks=240 reason=stuck-low step=50 y=71 startY=69 ban=-243,189 pos=-243,71,189 walls=0/3/4 sky=13 place=10 boxed=false hold=true cool=240 ban=240 startY=69 step=50 | pillar state machine: check ban column vs actual shaft column
FAULT 1:11.0 S136 | END reason=stuck-low step=50 y=71 startY=69 roseReal=false giveUp=true pos=-243,71,189 walls=0/3/4 sky=13 place=10 boxed=false hold=true cool=240 ban=240 startY=69 step=50 | pillar state machine: check ban column vs actual shaft column
FAULT 1:11.5 S109 | equip pick for mining (was holding oak_sapling) | mining with a block in hand: force-equip the pick (S109 does this)
FAULT 1:13.3 S135 | S130 suppressed why=would-S130 but busy cool=195 flips=3 sameXz=45 child=CollectIronIngotTask cool=195 ban=195 hold=false pos=-243,69,189 walls=4/4/4 sky=11 place=11 boxed=true hold=false cool=195 ban=195 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 1:14.5 S100 | stop jump-walk @-243,189 ph=IRON child=CollectIronIngotTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 1:15.3 S135 | S130 suppressed why=would-S130 but busy cool=154 flips=0 sameXz=86 child=CollectIronIngotTask cool=154 ban=154 hold=false pos=-243,68,189 walls=4/4/4 sky=10 place=13 boxed=true hold=false cool=154 ban=154 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 1:16.3 E100 | jumps=6 @-243,66,189 ph=IRON child=CollectIronIngotTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 1:17.3 S135 | S130 suppressed why=would-S130 but busy cool=114 flips=5 sameXz=126 child=CollectIronIngotTask cool=114 ban=114 hold=false pos=-243,65,189 walls=4/4/4 sky=7 place=15 boxed=true hold=false cool=114 ban=114 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 1:21.4 S135 | S130 suppressed why=would-S130 but busy cool=32 flips=2 sameXz=208 child=CollectIronIngotTask cool=32 ban=32 hold=false pos=-243,61,189 walls=4/4/4 sky=3 place=20 boxed=true hold=false cool=32 ban=32 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 1:21.8 E100 | jumps=6 @-243,60,189 ph=IRON child=CollectIronIngotTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 1:23.0 S134 | pillar cool expire after flips=3 end=stuck-low step=50 y=71 startY=69 | pillar state machine: check ban column vs actual shaft column
FAULT 1:23.0 S137 | re-cool still-boxed@-243,189 n=1 ticks=400 end=stuck-low step=50 y=71 startY=69 pos=-243,60,189 walls=4/4/4 sky=2 place=21 boxed=true hold=false cool=400 ban=400 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 1:34.2 S138 | shaft ban clear left-xz ban=-243,189 now=-242,188 manh=2 left=178 | pillar state machine: check ban column vs actual shaft column
FAULT 1:43.0 S134 | pillar cool expire after flips=3 end=stuck-low step=50 y=71 startY=69 | pillar state machine: check ban column vs actual shaft column
FAULT 1:43.1 S138 | shaft ban clear left-xz ban=-243,189 now=-241,185 manh=6 left=60 | pillar state machine: check ban column vs actual shaft column
FAULT 1:58.7 S130 | START trigger=flips=3 ph=IRON prev=CollectIronIngotTask cycle=2 pos=-243,61,189 walls=4/4/3 sky=3 place=38 boxed=true hold=false cool=0 ban=0 startY=61 step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 2:00.7 S139 | rise confirmed +4y y=65 startY=61 pos=-243,65,189 walls=4/4/4 sky=7 place=34 boxed=true hold=true cool=0 ban=0 startY=61 step=40 | rise confirmed: real escape, cool armed
FAULT 2:00.7 S133 | cool arm ticks=80 reason=risen y=65 startY=61 ban=-243,189 pos=-243,65,189 walls=4/4/4 sky=7 place=34 boxed=true hold=true cool=80 ban=80 startY=61 step=40 | pillar state machine: check ban column vs actual shaft column
FAULT 2:00.7 S136 | END reason=risen y=65 startY=61 roseReal=true giveUp=true pos=-243,65,189 walls=4/4/4 sky=7 place=34 boxed=true hold=true cool=80 ban=80 startY=61 step=40 | pillar state machine: check ban column vs actual shaft column
FAULT 2:02.0 E100 | jumps=13 @-243,63,189 ph=IRON child=CollectIronIngotTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 2:02.1 S135 | S130 suppressed why=would-S130 but busy cool=53 flips=3 sameXz=27 child=CollectIronIngotTask cool=53 ban=53 hold=false pos=-243,63,189 walls=4/4/4 sky=5 place=34 boxed=true hold=false cool=53 ban=53 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
