FAULT 0:34.7 E116 | drop 8 from 73 to 65 ph=BOOTSTRAP | hole loop: stop place, surface bail
FAULT 0:52.8 E116 | drop 8 from 70 to 62 ph=BOOTSTRAP | hole loop: stop place, surface bail
FAULT 1:30.0 E118 | CraftInTableTask 90s no inv change ph=BOOTSTRAP | see T2Codes / paste faults.log
FAULT 2:29.8 E116 | drop 8 from 70 to 62 ph=BOOTSTRAP | hole loop: stop place, surface bail
FAULT 2:33.8 S102 | escape water spd=0.006 | water still: swim+jump, do not pillar
FAULT 2:37.1 E102 | spd=0.000 @-232,62,84 | water still: swim+jump, do not pillar
FAULT 2:39.8 S102 | escape water spd=0.000 | water still: swim+jump, do not pillar
FAULT 2:43.1 E102 | spd=0.000 @-232,62,84 | water still: swim+jump, do not pillar
FAULT 2:43.8 E97 | wood jump-lock — retarget nearest any-type log | see T2Codes / paste faults.log
FAULT 2:44.2 S140 | replace MineAndCollectTask after 13s same xz | see T2Codes / paste faults.log
FAULT 2:56.4 S102 | escape water spd=0.000 | water still: swim+jump, do not pillar
FAULT 2:57.8 E10 | submerged — bail once | water still: swim+jump, do not pillar
FAULT 3:00.4 E102 | spd=0.000 @-247,61,84 | water still: swim+jump, do not pillar
FAULT 3:02.5 S102 | escape water spd=0.000 | water still: swim+jump, do not pillar
FAULT 3:04.2 E97 | wood jump-lock — retarget nearest any-type log | see T2Codes / paste faults.log
FAULT 3:04.5 S140 | replace MineAndCollectTask after 11s same xz | see T2Codes / paste faults.log
FAULT 3:22.6 E97 | wood jump-lock — retarget nearest any-type log | see T2Codes / paste faults.log
FAULT 3:22.8 S140 | replace MineAndCollectTask after 8s same xz | see T2Codes / paste faults.log
FAULT 4:12.8 E97 | wood jump-lock — retarget nearest any-type log | see T2Codes / paste faults.log
FAULT 4:13.1 S140 | replace MineAndCollectTask after 8s same xz | see T2Codes / paste faults.log
FAULT 4:36.1 S130 | START trigger=flips=3 ph=IRON prev=CollectIronIngotTask cycle=1 pos=-299,62,136 walls=4/4/4 sky=10 place=3 boxed=true hold=false cool=0 ban=0 startY=62 step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 4:36.8 E100 | jumps=6 @-299,63,136 ph=IRON child=HolePillarTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 4:37.1 S130 | tick y=64 slot=1 air=true pos=-299,64,136 walls=0/0/4 sky=12 place=2 boxed=false hold=true cool=0 ban=0 startY=62 step=21 | pillar state machine: check ban column vs actual shaft column
FAULT 4:38.0 S139 | rise confirmed +4y y=66 startY=62 pos=-299,66,136 walls=0/0/0 sky=12 place=1 boxed=false hold=true cool=0 ban=0 startY=62 step=37 | rise confirmed: real escape, cool armed
FAULT 4:38.0 S133 | cool arm ticks=80 reason=risen y=66 startY=62 ban=-299,136 pos=-299,66,136 walls=0/0/0 sky=12 place=1 boxed=false hold=true cool=80 ban=80 startY=62 step=37 | pillar state machine: check ban column vs actual shaft column
FAULT 4:38.0 S136 | END reason=risen y=66 startY=62 roseReal=true giveUp=true pos=-299,66,136 walls=0/0/0 sky=12 place=1 boxed=false hold=true cool=80 ban=80 startY=62 step=37 | pillar state machine: check ban column vs actual shaft column
FAULT 4:38.3 S109 | equip pick for mining (was holding empty) | mining with a block in hand: force-equip the pick (S109 does this)
FAULT 4:41.5 S135 | S130 suppressed why=would-S130 but busy cool=10 flips=6 sameXz=70 child=CollectIronIngotTask cool=10 ban=10 hold=false pos=-299,62,136 walls=4/4/4 sky=10 place=3 boxed=true hold=false cool=10 ban=10 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 4:41.5 S100 | stop jump-walk @-299,136 ph=IRON child=CollectIronIngotTask esc=0 | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 4:42.0 S134 | pillar cool expire after flips=3 end=risen y=66 startY=62 | pillar state machine: check ban column vs actual shaft column
FAULT 4:42.0 S137 | re-cool still-boxed@-299,136 n=1 ticks=160 end=risen y=66 startY=62 pos=-299,62,136 walls=4/4/4 sky=10 place=4 boxed=true hold=false cool=160 ban=160 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 4:44.0 S135 | S130 suppressed why=would-S130 but busy cool=120 flips=2 sameXz=41 child=CollectIronIngotTask cool=120 ban=120 hold=false pos=-299,61,136 walls=4/4/4 sky=9 place=6 boxed=true hold=false cool=120 ban=120 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 4:46.2 E100 | jumps=6 @-299,59,136 ph=IRON child=CollectIronIngotTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 4:46.2 S144 | jump-stuck collector — replace CollectIronIngotTask with wander (esc=2) | S100 nudge ineffective on a collector: child replaced with TimeoutWanderTask to break the re-path loop
FAULT 4:49.9 S138 | shaft ban clear left-xz ban=-299,136 now=-301,136 manh=2 left=2 | pillar state machine: check ban column vs actual shaft column
FAULT 4:50.0 S134 | pillar cool expire after flips=3 end=risen y=66 startY=62 | pillar state machine: check ban column vs actual shaft column
FAULT 4:50.0 S138 | shaft ban clear left-xz ban=-299,136 now=-301,136 manh=2 left=60 | pillar state machine: check ban column vs actual shaft column
FAULT 4:57.4 S130 | START trigger=flips=3 ph=IRON prev=CollectIronIngotTask cycle=1 pos=-315,62,147 walls=4/4/4 sky=15 place=6 boxed=true hold=false cool=0 ban=0 startY=62 step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 4:59.3 S139 | rise confirmed +4y y=66 startY=62 pos=-315,66,147 walls=0/0/0 sky=15 place=4 boxed=false hold=true cool=0 ban=0 startY=62 step=37 | rise confirmed: real escape, cool armed
FAULT 4:59.3 S133 | cool arm ticks=80 reason=risen y=66 startY=62 ban=-315,147 pos=-315,66,147 walls=0/0/0 sky=15 place=4 boxed=false hold=true cool=80 ban=80 startY=62 step=37 | pillar state machine: check ban column vs actual shaft column
FAULT 4:59.3 S136 | END reason=risen y=66 startY=62 roseReal=true giveUp=true pos=-315,66,147 walls=0/0/0 sky=15 place=4 boxed=false hold=true cool=80 ban=80 startY=62 step=37 | pillar state machine: check ban column vs actual shaft column
FAULT 4:59.6 S109 | equip pick for mining (was holding empty) | mining with a block in hand: force-equip the pick (S109 does this)
FAULT 5:00.2 E100 | jumps=12 @-315,65,147 ph=IRON child=CollectIronIngotTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 5:02.8 S135 | S130 suppressed why=would-S130 but busy cool=10 flips=6 sameXz=70 child=CollectIronIngotTask cool=10 ban=10 hold=false pos=-315,62,147 walls=4/4/4 sky=15 place=6 boxed=true hold=false cool=10 ban=10 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 5:02.8 S100 | stop jump-walk @-315,147 ph=IRON child=CollectIronIngotTask esc=0 | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 5:03.3 S134 | pillar cool expire after flips=3 end=risen y=66 startY=62 | pillar state machine: check ban column vs actual shaft column
FAULT 5:03.3 S137 | re-cool still-boxed@-315,147 n=1 ticks=160 end=risen y=66 startY=62 pos=-315,62,147 walls=4/4/4 sky=15 place=7 boxed=true hold=false cool=160 ban=160 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 5:05.3 S135 | S130 suppressed why=would-S130 but busy cool=120 flips=2 sameXz=41 child=CollectIronIngotTask cool=120 ban=120 hold=false pos=-315,61,147 walls=4/4/4 sky=15 place=8 boxed=true hold=false cool=120 ban=120 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 5:06.4 E100 | jumps=6 @-315,61,147 ph=IRON child=CollectIronIngotTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 5:06.4 S144 | jump-stuck collector — replace CollectIronIngotTask with wander (esc=2) | S100 nudge ineffective on a collector: child replaced with TimeoutWanderTask to break the re-path loop
FAULT 5:09.2 S138 | shaft ban clear left-xz ban=-315,147 now=-316,148 manh=2 left=43 | pillar state machine: check ban column vs actual shaft column
FAULT 5:11.3 S134 | pillar cool expire after flips=3 end=risen y=66 startY=62 | pillar state machine: check ban column vs actual shaft column
FAULT 5:11.3 S138 | shaft ban clear left-xz ban=-315,147 now=-318,155 manh=11 left=60 | pillar state machine: check ban column vs actual shaft column
FAULT 5:33.9 S130 | START trigger=flips=3 ph=IRON prev=CollectIronIngotTask cycle=1 pos=-310,62,137 walls=4/4/4 sky=15 place=4 boxed=true hold=false cool=0 ban=0 startY=62 step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 5:35.7 S139 | rise confirmed +4y y=66 startY=62 pos=-310,66,137 walls=0/0/0 sky=15 place=1 boxed=false hold=true cool=0 ban=0 startY=62 step=37 | rise confirmed: real escape, cool armed
FAULT 5:35.7 S133 | cool arm ticks=80 reason=risen y=66 startY=62 ban=-310,137 pos=-310,66,137 walls=0/0/0 sky=15 place=1 boxed=false hold=true cool=80 ban=80 startY=62 step=37 | pillar state machine: check ban column vs actual shaft column
FAULT 5:35.7 S136 | END reason=risen y=66 startY=62 roseReal=true giveUp=true pos=-310,66,137 walls=0/0/0 sky=15 place=1 boxed=false hold=true cool=80 ban=80 startY=62 step=37 | pillar state machine: check ban column vs actual shaft column
FAULT 5:36.5 S138 | shaft ban clear left-xz ban=-310,137 now=-308,137 manh=2 left=65 | pillar state machine: check ban column vs actual shaft column
FAULT 5:36.7 S109 | equip pick for mining (was holding empty) | mining with a block in hand: force-equip the pick (S109 does this)
FAULT 5:38.9 S135 | S130 suppressed why=would-S130 but busy cool=16 flips=3 sameXz=27 child=CollectIronIngotTask cool=16 ban=0 hold=false pos=-309,62,137 walls=4/4/4 sky=15 place=1 boxed=true hold=false cool=16 ban=0 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 5:39.7 S134 | pillar cool expire after flips=3 end=risen y=66 startY=62 | pillar state machine: check ban column vs actual shaft column
FAULT 5:40.9 S135 | S130 suppressed why=would-S130 but busy cool=0 flips=4 sameXz=25 child=CollectIronIngotTask cool=0 ban=36 hold=false pos=-309,60,137 walls=4/4/4 sky=15 place=1 boxed=true hold=false cool=0 ban=36 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
