FAULT 0:30.6 S120 | craft-gui jump @191,65,68 child=CraftInTableTask | see T2Codes / paste faults.log
FAULT 0:31.2 E109 | mine/collect with no pick child=CollectIronIngotTask | see T2Codes / paste faults.log
FAULT 0:32.1 E112 | ph IRON->BOOTSTRAP in 986ms | see T2Codes / paste faults.log
FAULT 0:35.8 S130 | START trigger=flips=3 ph=IRON prev=CollectIronIngotTask cycle=1 pos=190,63,68 walls=4/4/4 sky=12 place=5 boxed=true hold=false cool=0 ban=0 startY=63 step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 0:37.6 E100 | jumps=11 @190,66,68 ph=IRON child=HolePillarTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 0:37.8 S130 | tick y=66 slot=3 air=false pos=190,66,68 walls=2/2/2 sky=14 place=3 boxed=false hold=true cool=0 ban=0 startY=63 step=41 | pillar state machine: check ban column vs actual shaft column
FAULT 0:38.3 S133 | cool arm ticks=240 reason=stuck-low step=50 y=66 startY=63 ban=190,68 pos=190,66,68 walls=2/2/2 sky=14 place=3 boxed=false hold=true cool=240 ban=240 startY=63 step=50 | pillar state machine: check ban column vs actual shaft column
FAULT 0:38.3 S136 | END reason=stuck-low step=50 y=66 startY=63 roseReal=false giveUp=true pos=190,66,68 walls=2/2/2 sky=14 place=3 boxed=false hold=true cool=240 ban=240 startY=63 step=50 | pillar state machine: check ban column vs actual shaft column
FAULT 0:38.9 S138 | shaft ban clear left-xz ban=190,68 now=192,68 manh=2 left=229 | pillar state machine: check ban column vs actual shaft column
FAULT 0:39.2 S109 | equip pick for mining (was holding empty) | mining with a block in hand: force-equip the pick (S109 does this)
FAULT 0:42.3 S135 | S130 suppressed why=would-S130 but busy cool=160 flips=3 sameXz=29 child=CollectIronIngotTask cool=160 ban=0 hold=false pos=191,63,69 walls=4/4/4 sky=12 place=4 boxed=true hold=false cool=160 ban=0 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 0:44.1 S100 | stop jump-walk @191,69 ph=IRON child=CollectIronIngotTask esc=0 | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 0:44.3 S135 | S130 suppressed why=would-S130 but busy cool=120 flips=0 sameXz=69 child=CollectIronIngotTask cool=120 ban=0 hold=false pos=191,62,69 walls=4/4/4 sky=11 place=5 boxed=true hold=false cool=120 ban=0 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 0:44.9 E100 | jumps=6 @191,62,69 ph=IRON child=CollectIronIngotTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 0:46.3 S135 | S130 suppressed why=would-S130 but busy cool=80 flips=2 sameXz=109 child=CollectIronIngotTask cool=80 ban=0 hold=false pos=191,61,69 walls=4/4/4 sky=10 place=7 boxed=true hold=false cool=80 ban=0 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 0:48.4 S109 | equip pick for mining (was holding dirt) | mining with a block in hand: force-equip the pick (S109 does this)
FAULT 0:48.5 S120 | craft-gui jump @191,61,69 child=CollectIronIngotTask | see T2Codes / paste faults.log
FAULT 0:50.3 S134 | pillar cool expire after flips=3 end=stuck-low step=50 y=66 startY=63 | pillar state machine: check ban column vs actual shaft column
FAULT 0:50.4 S138 | shaft ban clear left-xz ban=190,68 now=191,69 manh=2 left=60 | pillar state machine: check ban column vs actual shaft column
FAULT 0:56.3 E70 | iron stall 6s @191,68 — clear blacklist + re-pick ore | see T2Codes / paste faults.log
FAULT 1:02.6 E70 | iron stall 6s @190,67 — clear blacklist + re-pick ore | see T2Codes / paste faults.log
